,Intelligibility,Articulatory Precision,Acoustic VSA,Kinematic VSA,Acoustic Distannce,TB Distance,Jaw Distance,F2 Slope,TB Average Speed
Intelligibility,,,,,,,,,
Articulatory Precision,0.906,,,,,,,,
Acoustic VSA,0.708,0.670,,,,,,,
Kinematic VSA,0.167,0.188,0.020,,,,,,
Acoustic Dist,0.429,0.462,0.199,0.183,,,,,
TB Distance,0.458,0.474,0.162,0.528,0.723,,,,
Jaw Distance,0.148,0.166,0.122,0.319,0.169,0.413,,,
F2 Slope,-0.076,-0.076,-0.054,-0.013,0.261,0.017,-0.017,,
TB Average Speed,0.397,0.397,0.059,0.487,0.461,0.530,0.098,0.241,
Jaw Average Speed,0.305,0.320,0.110,0.145,0.132,0.008,-0.049,0.160,0.649
