"","ID","Token","Rating","Condition","Speaker","ratingType","rep","Sent"
"1","L1","Sub28_Int_bsent.4_conv",1,"conv","Sub28","Int","4","bsent"
"2","L1","Sub28_Int_bsent.4_lessClear",2,"lessClear","Sub28","Int","4","bsent"
"3","L1","Sub28_Int_bsent.4_moreClear",4,"moreClear","Sub28","Int","4","bsent"
"4","L1","Sub16_Int_tsent.4_conv",100,"conv","Sub16","Int","4","tsent"
"5","L1","Sub16_Int_tsent.4_lessClear",100,"lessClear","Sub16","Int","4","tsent"
"6","L1","Sub16_Int_tsent.4_moreClear",100,"moreClear","Sub16","Int","4","tsent"
"7","L1","Sub11_Int_ksent.3_conv",2,"conv","Sub11","Int","3","ksent"
"8","L1","Sub11_Int_ksent.3_lessClear",10,"lessClear","Sub11","Int","3","ksent"
"9","L1","Sub11_Int_ksent.3_moreClear",28,"moreClear","Sub11","Int","3","ksent"
"10","L1","Sub28_AP_tsent.5_conv",9,"conv","Sub28","AP","5","tsent"
"11","L1","Sub28_AP_tsent.5_lessClear",6,"lessClear","Sub28","AP","5","tsent"
"12","L1","Sub28_AP_tsent.5_moreClear",8,"moreClear","Sub28","AP","5","tsent"
"13","L1","Sub16_AP_ksent.3_conv",100,"conv","Sub16","AP","3","ksent"
"14","L1","Sub16_AP_ksent.3_lessClear",100,"lessClear","Sub16","AP","3","ksent"
"15","L1","Sub16_AP_ksent.3_moreClear",100,"moreClear","Sub16","AP","3","ksent"
"16","L1","Sub11_AP_bsent.3_conv",47,"conv","Sub11","AP","3","bsent"
"17","L1","Sub11_AP_bsent.3_lessClear",11,"lessClear","Sub11","AP","3","bsent"
"18","L1","Sub11_AP_bsent.3_moreClear",84,"moreClear","Sub11","AP","3","bsent"
"19","L2","Sub25_Int_bsent.1_conv",0,"conv","Sub25","Int","1","bsent"
"20","L2","Sub25_Int_bsent.1_lessClear",0,"lessClear","Sub25","Int","1","bsent"
"21","L2","Sub25_Int_bsent.1_moreClear",0,"moreClear","Sub25","Int","1","bsent"
"22","L2","Sub34_Int_tsent.1_conv",22,"conv","Sub34","Int","1","tsent"
"23","L2","Sub34_Int_tsent.1_lessClear",12,"lessClear","Sub34","Int","1","tsent"
"24","L2","Sub34_Int_tsent.1_moreClear",55,"moreClear","Sub34","Int","1","tsent"
"25","L2","Sub12_Int_ksent.1_conv",13,"conv","Sub12","Int","1","ksent"
"26","L2","Sub12_Int_ksent.1_lessClear",3,"lessClear","Sub12","Int","1","ksent"
"27","L2","Sub12_Int_ksent.1_moreClear",0,"moreClear","Sub12","Int","1","ksent"
"28","L2","Sub25_AP_tsent.1_conv",0,"conv","Sub25","AP","1","tsent"
"29","L2","Sub25_AP_tsent.1_lessClear",0,"lessClear","Sub25","AP","1","tsent"
"30","L2","Sub25_AP_tsent.1_moreClear",0,"moreClear","Sub25","AP","1","tsent"
"31","L2","Sub34_AP_ksent.5_conv",40,"conv","Sub34","AP","5","ksent"
"32","L2","Sub34_AP_ksent.5_lessClear",3,"lessClear","Sub34","AP","5","ksent"
"33","L2","Sub34_AP_ksent.5_moreClear",52,"moreClear","Sub34","AP","5","ksent"
"34","L2","Sub12_AP_bsent.2_conv",50,"conv","Sub12","AP","2","bsent"
"35","L2","Sub12_AP_bsent.2_lessClear",0,"lessClear","Sub12","AP","2","bsent"
"36","L2","Sub12_AP_bsent.2_moreClear",40,"moreClear","Sub12","AP","2","bsent"
"37","L3","Sub35_Int_bsent.3_conv",49,"conv","Sub35","Int","3","bsent"
"38","L3","Sub35_Int_bsent.3_lessClear",64,"lessClear","Sub35","Int","3","bsent"
"39","L3","Sub35_Int_bsent.3_moreClear",88,"moreClear","Sub35","Int","3","bsent"
"40","L3","Sub25_Int_tsent.4_conv",0,"conv","Sub25","Int","4","tsent"
"41","L3","Sub25_Int_tsent.4_lessClear",0,"lessClear","Sub25","Int","4","tsent"
"42","L3","Sub25_Int_tsent.4_moreClear",0,"moreClear","Sub25","Int","4","tsent"
"43","L3","Sub34_Int_ksent.2_conv",15,"conv","Sub34","Int","2","ksent"
"44","L3","Sub34_Int_ksent.2_lessClear",39,"lessClear","Sub34","Int","2","ksent"
"45","L3","Sub34_Int_ksent.2_moreClear",57,"moreClear","Sub34","Int","2","ksent"
"46","L3","Sub35_AP_tsent.1_conv",57,"conv","Sub35","AP","1","tsent"
"47","L3","Sub35_AP_tsent.1_lessClear",51,"lessClear","Sub35","AP","1","tsent"
"48","L3","Sub35_AP_tsent.1_moreClear",58,"moreClear","Sub35","AP","1","tsent"
"49","L3","Sub25_AP_ksent.5_conv",0,"conv","Sub25","AP","5","ksent"
"50","L3","Sub25_AP_ksent.5_lessClear",0,"lessClear","Sub25","AP","5","ksent"
"51","L3","Sub25_AP_ksent.5_moreClear",0,"moreClear","Sub25","AP","5","ksent"
"52","L3","Sub34_AP_bsent.4_conv",52,"conv","Sub34","AP","4","bsent"
"53","L3","Sub34_AP_bsent.4_lessClear",30,"lessClear","Sub34","AP","4","bsent"
"54","L3","Sub34_AP_bsent.4_moreClear",91,"moreClear","Sub34","AP","4","bsent"
"55","L4","Sub12_Int_bsent.4_conv",87,"conv","Sub12","Int","4","bsent"
"56","L4","Sub12_Int_bsent.4_lessClear",67,"lessClear","Sub12","Int","4","bsent"
"57","L4","Sub12_Int_bsent.4_moreClear",55,"moreClear","Sub12","Int","4","bsent"
"58","L4","Sub32_Int_tsent.1_conv",45,"conv","Sub32","Int","1","tsent"
"59","L4","Sub32_Int_tsent.1_lessClear",60,"lessClear","Sub32","Int","1","tsent"
"60","L4","Sub32_Int_tsent.1_moreClear",98,"moreClear","Sub32","Int","1","tsent"
"61","L4","Sub30_Int_ksent.1_conv",65,"conv","Sub30","Int","1","ksent"
"62","L4","Sub30_Int_ksent.1_lessClear",2,"lessClear","Sub30","Int","1","ksent"
"63","L4","Sub30_Int_ksent.1_moreClear",23,"moreClear","Sub30","Int","1","ksent"
"64","L4","Sub12_AP_tsent.3_conv",98,"conv","Sub12","AP","3","tsent"
"65","L4","Sub12_AP_tsent.3_lessClear",5,"lessClear","Sub12","AP","3","tsent"
"66","L4","Sub12_AP_tsent.3_moreClear",97,"moreClear","Sub12","AP","3","tsent"
"67","L4","Sub32_AP_ksent.2_conv",81,"conv","Sub32","AP","2","ksent"
"68","L4","Sub32_AP_ksent.2_lessClear",5,"lessClear","Sub32","AP","2","ksent"
"69","L4","Sub32_AP_ksent.2_moreClear",100,"moreClear","Sub32","AP","2","ksent"
"70","L4","Sub30_AP_bsent.3_conv",87,"conv","Sub30","AP","3","bsent"
"71","L4","Sub30_AP_bsent.3_lessClear",3,"lessClear","Sub30","AP","3","bsent"
"72","L4","Sub30_AP_bsent.3_moreClear",100,"moreClear","Sub30","AP","3","bsent"
"73","L5","Sub16_Int_bsent.2_conv",100,"conv","Sub16","Int","2","bsent"
"74","L5","Sub16_Int_bsent.2_lessClear",100,"lessClear","Sub16","Int","2","bsent"
"75","L5","Sub16_Int_bsent.2_moreClear",100,"moreClear","Sub16","Int","2","bsent"
"76","L5","Sub35_Int_tsent.4_conv",59,"conv","Sub35","Int","4","tsent"
"77","L5","Sub35_Int_tsent.4_lessClear",60,"lessClear","Sub35","Int","4","tsent"
"78","L5","Sub35_Int_tsent.4_moreClear",59,"moreClear","Sub35","Int","4","tsent"
"79","L5","Sub28_Int_ksent.3_conv",0,"conv","Sub28","Int","3","ksent"
"80","L5","Sub28_Int_ksent.3_lessClear",0,"lessClear","Sub28","Int","3","ksent"
"81","L5","Sub28_Int_ksent.3_moreClear",0,"moreClear","Sub28","Int","3","ksent"
"82","L5","Sub16_AP_tsent.4_conv",57,"conv","Sub16","AP","4","tsent"
"83","L5","Sub16_AP_tsent.4_lessClear",58,"lessClear","Sub16","AP","4","tsent"
"84","L5","Sub16_AP_tsent.4_moreClear",58,"moreClear","Sub16","AP","4","tsent"
"85","L5","Sub35_AP_ksent.2_conv",52,"conv","Sub35","AP","2","ksent"
"86","L5","Sub35_AP_ksent.2_lessClear",29,"lessClear","Sub35","AP","2","ksent"
"87","L5","Sub35_AP_ksent.2_moreClear",42,"moreClear","Sub35","AP","2","ksent"
"88","L5","Sub28_AP_bsent.3_conv",29,"conv","Sub28","AP","3","bsent"
"89","L5","Sub28_AP_bsent.3_lessClear",0,"lessClear","Sub28","AP","3","bsent"
"90","L5","Sub28_AP_bsent.3_moreClear",30,"moreClear","Sub28","AP","3","bsent"
"91","L6","Sub24_Int_bsent.5_conv",36,"conv","Sub24","Int","5","bsent"
"92","L6","Sub24_Int_bsent.5_lessClear",41,"lessClear","Sub24","Int","5","bsent"
"93","L6","Sub24_Int_bsent.5_moreClear",52,"moreClear","Sub24","Int","5","bsent"
"94","L6","Sub26_Int_tsent.2_conv",1,"conv","Sub26","Int","2","tsent"
"95","L6","Sub26_Int_tsent.2_lessClear",5,"lessClear","Sub26","Int","2","tsent"
