"","DatabaseID","ratingType","condition","Sent","rep","Count","M","SD"
"1","Sub11","AP","conv","bsent","1",4,24.25,19.2591969372211
"2","Sub11","AP","conv","bsent","2",3,15,25.9807621135332
"3","Sub11","AP","conv","bsent","3",4,28.25,17.0367250374008
"4","Sub11","AP","conv","bsent","4",3,39.3333333333333,29.8384539367128
"5","Sub11","AP","conv","bsent","5",4,2.5,3.69684550213647
"6","Sub11","AP","conv","ksent","1",3,23,26.9072480941474
"7","Sub11","AP","conv","ksent","2",3,1.33333333333333,2.3094010767585
"8","Sub11","AP","conv","ksent","3",4,29.5,26.4889914241118
"9","Sub11","AP","conv","ksent","4",4,13.75,10.2102889283311
"10","Sub11","AP","conv","ksent","5",4,14,12.2474487139159
"11","Sub11","AP","conv","tsent","1",4,14.5,23.783747952471
"12","Sub11","AP","conv","tsent","2",4,31,28.3548937575157
"13","Sub11","AP","conv","tsent","3",4,10.25,6.18465843842649
"14","Sub11","AP","conv","tsent","4",2,7.5,10.6066017177982
"15","Sub11","AP","conv","tsent","5",3,3.33333333333333,4.16333199893227
"16","Sub11","AP","lessClear","bsent","1",4,17.5,16.7630546142402
"17","Sub11","AP","lessClear","bsent","2",3,11,19.0525588832576
"18","Sub11","AP","lessClear","bsent","3",4,7.25,8.18026079453868
"19","Sub11","AP","lessClear","bsent","4",3,15.6666666666667,14.6401275039985
"20","Sub11","AP","lessClear","bsent","5",4,2,2.44948974278318
"21","Sub11","AP","lessClear","ksent","1",3,0.333333333333333,0.577350269189626
"22","Sub11","AP","lessClear","ksent","2",3,7.66666666666667,11.5902257671425
"23","Sub11","AP","lessClear","ksent","3",4,24,26.343879744639
"24","Sub11","AP","lessClear","ksent","4",4,25,18.7616630392937
"25","Sub11","AP","lessClear","ksent","5",4,26.75,25.2899848424892
"26","Sub11","AP","lessClear","tsent","1",4,2.75,1.5
"27","Sub11","AP","lessClear","tsent","2",4,14.25,12.2848144742469
"28","Sub11","AP","lessClear","tsent","3",4,8.5,7.18795288428261
"29","Sub11","AP","lessClear","tsent","4",2,8.5,12.0208152801713
"30","Sub11","AP","lessClear","tsent","5",3,13,12.5299640861417
"31","Sub11","AP","moreClear","bsent","1",4,29.25,20.9025516783637
"32","Sub11","AP","moreClear","bsent","2",3,9.33333333333333,16.1658075373095
"33","Sub11","AP","moreClear","bsent","3",4,30,38.7126163758879
"34","Sub11","AP","moreClear","bsent","4",3,33,38
"35","Sub11","AP","moreClear","bsent","5",4,1.5,1.73205080756888
"36","Sub11","AP","moreClear","ksent","1",3,33.6666666666667,49.812983581927
"37","Sub11","AP","moreClear","ksent","2",3,0.333333333333333,0.577350269189626
"38","Sub11","AP","moreClear","ksent","3",4,43.5,26.3122278291545
"39","Sub11","AP","moreClear","ksent","4",4,44.75,25.1445819213603
"40","Sub11","AP","moreClear","ksent","5",4,12.5,17.1755640373177
"41","Sub11","AP","moreClear","tsent","1",4,69.25,20.9821352583573
"42","Sub11","AP","moreClear","tsent","2",4,27.25,22.4258035902098
"43","Sub11","AP","moreClear","tsent","3",4,30,22.7009544586419
"44","Sub11","AP","moreClear","tsent","4",2,10.5,10.6066017177982
"45","Sub11","AP","moreClear","tsent","5",3,36.3333333333333,21.0792156716832
"46","Sub11","Int","conv","bsent","1",2,20,14.142135623731
"47","Sub11","Int","conv","bsent","2",3,32.3333333333333,32.501282025996
"48","Sub11","Int","conv","bsent","3",5,17.8,16.1152102065099
"49","Sub11","Int","conv","bsent","4",4,22,32.4037034920393
"50","Sub11","Int","conv","bsent","5",5,14.8,13.4424700111252
"51","Sub11","Int","conv","ksent","1",4,7.5,7.54983443527075
"52","Sub11","Int","conv","ksent","2",4,4.75,4.99165971062398
"53","Sub11","Int","conv","ksent","3",3,22.6666666666667,36.6651514838454
"54","Sub11","Int","conv","ksent","4",3,7.33333333333333,9.29157324317757
"55","Sub11","Int","conv","ksent","5",4,25,29.3938769133981
"56","Sub11","Int","conv","tsent","1",4,25,50
"57","Sub11","Int","conv","tsent","2",4,9.75,9.53502316025854
"58","Sub11","Int","conv","tsent","3",4,28,20.1990098767242
"59","Sub11","Int","conv","tsent","4",3,19,31.1929479209644
"60","Sub11","Int","conv","tsent","5",3,12.6666666666667,8.14452781524708
"61","Sub11","Int","lessClear","bsent","1",2,3.5,0.707106781186548
"62","Sub11","Int","lessClear","bsent","2",3,25.3333333333333,32.5166623953525
"63","Sub11","Int","lessClear","bsent","3",5,8,7.87400787401181
"64","Sub11","Int","lessClear","bsent","4",4,12.25,14.7280910734102
"65","Sub11","Int","lessClear","bsent","5",5,22,22.6605383872493
"66","Sub11","Int","lessClear","ksent","1",4,12.5,21.1108187114253
"67","Sub11","Int","lessClear","ksent","2",4,1.75,2.21735578260835
"68","Sub11","Int","lessClear","ksent","3",3,12.3333333333333,12.6622799421484
"69","Sub11","Int","lessClear","ksent","4",3,5.33333333333333,4.61880215351701
"70","Sub11","Int","lessClear","ksent","5",4,24,35.8050275799363
"71","Sub11","Int","lessClear","tsent","1",4,18.5,32.4396876269383
"72","Sub11","Int","lessClear","tsent","2",4,3.75,2.5
"73","Sub11","Int","lessClear","tsent","3",4,14.25,25.2768009579271
"74","Sub11","Int","lessClear","tsent","4",3,15,22.6053091109146
"75","Sub11","Int","lessClear","tsent","5",3,5.66666666666667,5.5075705472861
"76","Sub11","Int","moreClear","bsent","1",2,56,57.9827560572969
"77","Sub11","Int","moreClear","bsent","2",3,28,37.8021163428716
"78","Sub11","Int","moreClear","bsent","3",5,29,22.5721066805914
"79","Sub11","Int","moreClear","bsent","4",4,32.75,26.2090951134652
"80","Sub11","Int","moreClear","bsent","5",5,18.2,14.2021125189177
"81","Sub11","Int","moreClear","ksent","1",4,30.75,36.2985307324323
"82","Sub11","Int","moreClear","ksent","2",4,5.25,6.39661368746516
"83","Sub11","Int","moreClear","ksent","3",3,11,14.9331845230681
"84","Sub11","Int","moreClear","ksent","4",3,49.6666666666667,38.5529938310027
"85","Sub11","Int","moreClear","ksent","5",4,26.5,32.9089653438087
"86","Sub11","Int","moreClear","tsent","1",4,57.75,49.3988866271296
"87","Sub11","Int","moreClear","tsent","2",4,27.75,22.6917753088353
"88","Sub11","Int","moreClear","tsent","3",4,21.25,21.1404036542982
"89","Sub11","Int","moreClear","tsent","4",3,34,31
"90","Sub11","Int","moreClear","tsent","5",3,26.3333333333333,32.7159492195066
"91","Sub12","AP","conv","bsent","1",3,58.3333333333333,22.3681320930768
"92","Sub12","AP","conv","bsent","2",3,69.3333333333333,26.8576494379782
"93","Sub12","AP","conv","bsent","3",3,41,19.0787840283389
"94","Sub12","AP","conv","bsent","4",4,46,26.0895892391327
"95","Sub12","AP","conv","bsent","5",4,23.75,24.5271957902516
"96","Sub12","AP","conv","ksent","1",3,28.3333333333333,22.0302821891444
"97","Sub12","AP","conv","ksent","2",3,23.6666666666667,10.785793124909
"98","Sub12","AP","conv","ksent","3",3,4,4
"99","Sub12","AP","conv","ksent","4",3,23.6666666666667,16.5025250593154
"100","Sub12","AP","conv","ksent","5",4,9.75,10.8742815854658
"101","Sub12","AP","conv","tsent","1",3,35.3333333333333,26.3122278291545
"102","Sub12","AP","conv","tsent","2",4,22.5,27
"103","Sub12","AP","conv","tsent","3",3,45,48.4458460551573
"104","Sub12","AP","conv","tsent","4",3,25,29.5972971738975
"105","Sub12","AP","conv","tsent","5",4,23.5,13.4783777461038
"106","Sub12","AP","lessClear","bsent","1",3,42.6666666666667,13.7961347243833
"107","Sub12","AP","lessClear","bsent","2",3,50.6666666666667,50.0133315560295
"108","Sub12","AP","lessClear","bsent","3",3,22.3333333333333,20.7444771766688
"109","Sub12","AP","lessClear","bsent","4",4,19,19.4079021706795
