"","ListenerID","DatabaseID","Token","condition","Sent","rep","ratingType","Rating","Rating_rel"
"1","L211","Sub57","Sub57_Int_bsent.5_conv","conv","bsent","5","Int",95,98
"2","L211","Sub57","Sub57_Int_bsent.5_lessClear","lessClear","bsent","5","Int",67,88
"3","L211","Sub57","Sub57_Int_bsent.5_moreClear","moreClear","bsent","5","Int",99,98
"4","L212","Sub60","Sub60_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"5","L212","Sub60","Sub60_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,100
"6","L212","Sub60","Sub60_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"7","L213","Sub48","Sub48_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"8","L213","Sub48","Sub48_Int_bsent.5_lessClear","lessClear","bsent","5","Int",94,100
"9","L213","Sub48","Sub48_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"10","L214","Sub59","Sub59_Int_bsent.2_conv","conv","bsent","2","Int",100,100
"11","L214","Sub59","Sub59_Int_bsent.2_lessClear","lessClear","bsent","2","Int",100,100
"12","L214","Sub59","Sub59_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,100
"13","L215","Sub40","Sub40_Int_bsent.3_conv","conv","bsent","3","Int",100,98
"14","L215","Sub40","Sub40_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,100
"15","L215","Sub40","Sub40_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,100
"16","L216","Sub53","Sub53_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"17","L216","Sub53","Sub53_Int_bsent.5_lessClear","lessClear","bsent","5","Int",95,100
"18","L216","Sub53","Sub53_Int_bsent.5_moreClear","moreClear","bsent","5","Int",91,100
"19","L217","Sub44","Sub44_Int_bsent.1_conv","conv","bsent","1","Int",69,38
"20","L217","Sub44","Sub44_Int_bsent.1_lessClear","lessClear","bsent","1","Int",27,10
"21","L217","Sub44","Sub44_Int_bsent.1_moreClear","moreClear","bsent","1","Int",100,99
"22","L217","Sub44","Sub44_Int_bsent.3_conv","conv","bsent","3","Int",NA,39
"23","L217","Sub44","Sub44_Int_bsent.3_lessClear","lessClear","bsent","3","Int",NA,17
"24","L217","Sub44","Sub44_Int_bsent.3_moreClear","moreClear","bsent","3","Int",NA,37
"25","L218","Sub36","Sub36_Int_bsent.5_conv","conv","bsent","5","Int",67,76
"26","L218","Sub36","Sub36_Int_bsent.5_lessClear","lessClear","bsent","5","Int",60,49
"27","L218","Sub36","Sub36_Int_bsent.5_moreClear","moreClear","bsent","5","Int",63,70
"28","L219","Sub13","Sub13_Int_bsent.3_conv","conv","bsent","3","Int",97,99
"29","L219","Sub13","Sub13_Int_bsent.3_lessClear","lessClear","bsent","3","Int",88,62
"30","L219","Sub13","Sub13_Int_bsent.3_moreClear","moreClear","bsent","3","Int",86,100
"31","L220","Sub52","Sub52_Int_bsent.2_conv","conv","bsent","2","Int",100,100
"32","L220","Sub52","Sub52_Int_bsent.2_lessClear","lessClear","bsent","2","Int",100,100
"33","L220","Sub52","Sub52_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,100
"34","L221","Sub49_2","Sub49_Int_bsent.4_conv","conv","bsent","4","Int",100,100
"35","L221","Sub49_2","Sub49_Int_bsent.4_lessClear","lessClear","bsent","4","Int",100,100
"36","L221","Sub49_2","Sub49_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,93
"37","L222","Sub17","Sub17_Int_bsent.1_conv","conv","bsent","1","Int",100,100
"38","L222","Sub17","Sub17_Int_bsent.1_lessClear","lessClear","bsent","1","Int",100,100
"39","L222","Sub17","Sub17_Int_bsent.1_moreClear","moreClear","bsent","1","Int",100,100
"40","L223","Sub39","Sub39_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"41","L223","Sub39","Sub39_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,100
"42","L223","Sub39","Sub39_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,96
"43","L224","Sub55_2","Sub55_Int_bsent.1_conv","conv","bsent","1","Int",21,55
"44","L224","Sub55_2","Sub55_Int_bsent.1_lessClear","lessClear","bsent","1","Int",25,45
"45","L224","Sub55_2","Sub55_Int_bsent.1_moreClear","moreClear","bsent","1","Int",42,47
"46","L225","Sub29","Sub29_Int_bsent.5_conv","conv","bsent","5","Int",100,72
"47","L225","Sub29","Sub29_Int_bsent.5_lessClear","lessClear","bsent","5","Int",85,82
"48","L225","Sub29","Sub29_Int_bsent.5_moreClear","moreClear","bsent","5","Int",90,53
"49","L226","Sub53","Sub53_Int_bsent.3_conv","conv","bsent","3","Int",100,100
"50","L226","Sub53","Sub53_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,100
"51","L226","Sub53","Sub53_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,100
"52","L227","Sub37","Sub37_Int_bsent.1_conv","conv","bsent","1","Int",100,100
